,Title,Imdb,Letterboxd,Imdb Sample Size,RYM,RYM Sample Size,Letterboxd Sample Size,Release Year,Weighted Rating
0,Star Wars: Episode VII - The Force Awakens ,7.8,6.82,936432.0,6.06,7496.0,802884.0,2015,6.8933333333333335
1,Avengers: Endgame ,8.4,7.84,1143197.0,6.5,5091.0,1131629.0,2019,7.580000000000001
2,Avatar ,7.9,7.06,1315981.0,5.42,7624.0,814160.0,2009,6.793333333333333
3,Black Panther ,7.3,7.48,781423.0,5.94,4535.0,1112607.0,2018,6.906666666666666
4,Avengers: Infinity War ,8.4,8.0,1091599.0,6.86,5540.0,1180128.0,2018,7.753333333333334
5,Spider-Man: No Way Home ,8.2,8.04,766288.0,6.6,3337.0,1200916.0,2021,7.613333333333332
6,Titanic ,7.9,7.56,1186039.0,5.74,6316.0,738790.0,1997,7.066666666666666
7,Jurassic World ,6.9,6.04,648341.0,4.9,3457.0,466909.0,2015,5.946666666666666
8,The Avengers ,8.0,7.36,1398172.0,6.08,6722.0,879188.0,2012,7.146666666666667
9,Star Wars: Episode VIII - The Last Jedi ,6.9,6.18,637770.0,5.58,5773.0,711229.0,2017,6.22
10,Incredibles 2 ,7.6,6.98,301885.0,6.32,3214.0,566022.0,2018,6.966666666666666
11,The Lion King ,6.8,5.68,248660.0,4.32,1026.0,260106.0,2019,5.6000000000000005
12,The Dark Knight ,9.0,8.9,2669451.0,7.66,13486.0,1317448.0,2008,8.520000000000001
13,Rogue One: A Star Wars Story ,7.8,7.34,645886.0,6.26,5403.0,647429.0,2016,7.133333333333333
14,Star Wars: Episode IX - The Rise of Skywalker ,6.5,5.04,456913.0,4.34,3846.0,590615.0,2019,5.293333333333333
15,Beauty and the Beast ,7.1,6.24,313798.0,4.88,1054.0,287806.0,2017,6.073333333333333
16,Finding Dory ,7.3,6.58,280878.0,6.08,2450.0,393528.0,2016,6.653333333333333
17,Frozen II ,6.8,6.46,176606.0,5.28,859.0,283982.0,2019,6.18
18,Star Wars: Episode I - The Phantom Menace ,6.5,5.6,812099.0,4.68,7992.0,561469.0,1999,5.593333333333334
19,Star Wars: Episode IV - A New Hope ,8.6,8.4,1372531.0,7.76,11238.0,835545.0,1977,8.253333333333332
20,Avengers: Age of Ultron ,7.3,6.28,870468.0,5.24,4368.0,712106.0,2015,6.273333333333333
21,The Dark Knight Rises ,8.4,7.4,171499.0,6.3,7997.0,719277.0,2012,7.366666666666667
22,Shrek 2 ,7.3,7.9,471016.0,6.24,4945.0,499360.0,2004,7.146666666666666
23,E.T. the Extra-Terrestrial ,7.9,7.68,414849.0,6.48,4911.0,433052.0,1982,7.353333333333334
24,Toy Story 4 ,7.7,7.04,256797.0,6.68,3062.0,478571.0,2019,7.14
25,Captain Marvel ,6.8,5.82,569852.0,5.32,2601.0,705606.0,2019,5.98
26,The Hunger Games: Catching Fire ,7.5,7.26,673534.0,5.88,2765.0,478660.0,2013,6.88
27,Pirates of the Caribbean: Dead Man's Chest ,7.3,7.04,728383.0,5.6,4043.0,354813.0,2006,6.646666666666666
28,The Lion King ,8.5,8.38,1070179.0,7.32,6248.0,663352.0,1994,8.066666666666668
29,Jurassic World: Fallen Kingdom ,6.1,5.26,322653.0,4.16,1522.0,293544.0,2018,5.173333333333333
30,Toy Story 3 ,8.3,7.94,844854.0,7.54,7923.0,587538.0,2010,7.926666666666667
31,Wonder Woman ,7.4,6.76,666589.0,5.62,2739.0,597750.0,2017,6.593333333333334
32,Iron Man 3 ,7.1,6.18,859955.0,5.5,3833.0,600365.0,2013,6.260000000000001
33,Captain America: Civil War ,7.8,7.24,799412.0,6.2,4063.0,819586.0,2016,7.080000000000001
34,The Hunger Games ,7.2,7.1,929487.0,5.38,4218.0,634787.0,2012,6.56
35,Spider-Man ,7.4,7.52,827765.0,6.26,6932.0,741777.0,2002,7.06
36,Jumanji: Welcome to the Jungle ,6.9,6.28,389569.0,5.44,1521.0,373962.0,2017,6.206666666666667
37,Jurassic Park ,8.2,8.2,1000525.0,7.06,7676.0,716364.0,1993,7.819999999999999
38,Transformers: Revenge of the Fallen ,5.9,4.58,411707.0,3.1,2634.0,152064.0,2009,4.526666666666666
39,Frozen ,7.4,6.76,633038.0,5.54,3457.0,529550.0,2013,6.566666666666667
40,Spider-Man: Far from Home ,7.4,6.96,504297.0,6.1,3337.0,876127.0,2019,6.82
41,Guardians of the Galaxy Vol. 2 ,7.6,7.08,692791.0,6.42,4159.0,801404.0,2017,7.033333333333334
42,Harry Potter and the Deathly Hallows: Part 2 ,8.1,7.88,887796.0,6.06,4518.0,622770.0,2011,7.346666666666667
43,Finding Nemo ,8.2,8.08,1054185.0,7.1,6903.0,741803.0,2003,7.793333333333333
44,Star Wars: Episode III - Revenge of the Sith ,7.6,7.3,801296.0,5.96,7707.0,603325.0,2005,6.953333333333333
45,The Lord of the Rings: The Return of the King ,9.0,8.86,1863879.0,7.82,8890.0,681824.0,2003,8.56
46,Spider-Man 2 ,7.4,7.74,663070.0,6.62,6295.0,670797.0,2004,7.253333333333333
47,The Passion of the Christ ,7.2,6.44,234484.0,5.0,2088.0,64840.0,2004,6.213333333333334
48,The Secret Life of Pets ,6.5,5.6,206059.0,5.02,1032.0,156504.0,2016,5.706666666666666
49,Despicable Me 2 ,7.3,6.08,,5.26,,,2013,6.213333333333334
50,The Jungle Book ,7.4,6.44,,5.9,,,2016,6.580000000000001
51,Deadpool ,8.0,7.4,,6.1,,,2016,7.166666666666667
52,Inside Out ,8.2,7.72,,7.28,,,2015,7.733333333333333
53,Aladdin ,6.9,6.1,,4.92,,,2019,5.973333333333334
54,Furious 7 ,7.1,6.44,,5.36,,,2015,6.300000000000001
55,Transformers: Dark of the Moon ,6.2,4.92,,3.62,,,2011,4.913333333333333
56,American Sniper ,7.3,6.44,,5.1,,,2014,6.28
57,The Lord of the Rings: The Two Towers ,8.8,8.66,,7.64,,,2002,8.366666666666667
58,Zootopia ,8.0,7.44,,6.88,,,2016,7.44
59,The Hunger Games: Mockingjay - Part 1 ,6.6,6.32,,4.98,,,2014,5.966666666666666
60,Spider-Man 3 ,6.3,5.98,,4.84,,,2007,5.706666666666667
61,Minions ,6.4,5.38,,4.18,,,2015,5.32
62,Joker ,8.4,7.8,,6.98,,,2019,7.726666666666667
63,Aquaman ,6.8,5.84,,5.08,,,2018,5.906666666666666
64,Spider-Man: Homecoming ,7.4,7.14,,6.32,,,2017,6.953333333333333
65,Alice in Wonderland ,6.4,6.08,,4.42,,,2010,5.633333333333333
66,Guardians of the Galaxy ,8.0,7.6,,6.68,,,2014,7.426666666666667
67,Forrest Gump ,8.8,8.26,,7.14,,,1994,8.066666666666668
68,Batman v Superman: Dawn of Justice ,6.4,4.94,,4.18,,,2016,5.173333333333333
69,It ,7.3,7.04,,6.08,,,2017,6.806666666666666
70,Suicide Squad ,5.9,4.24,,3.26,,,2016,4.466666666666667
71,Deadpool 2 ,7.7,7.02,,6.22,,,2018,6.9799999999999995
72,Shrek the Third ,6.1,5.52,,4.32,,,2007,5.3133333333333335
73,Jumanji: The Next Level ,6.7,5.96,,5.3,,,2019,5.986666666666667
74,Transformers ,7.0,5.98,,4.28,,,2007,5.753333333333334
75,Iron Man ,7.9,7.42,,6.32,,,2008,7.213333333333334
76,Harry Potter and the Sorcerer's Stone ,7.6,7.58,,5.94,,,2001,7.039999999999999
77,Indiana Jones and the Kingdom of the Crystal Skull ,6.2,5.16,,4.48,,,2008,5.28
78,The Lord of the Rings: The Fellowship of the Ring ,8.8,8.66,,7.82,,,2001,8.426666666666668
79,Thor: Ragnarok ,7.9,7.7,,6.66,,,2017,7.420000000000001
80,Iron Man 2 ,6.9,5.84,,5.04,,,2010,5.926666666666667
81,Star Wars: Episode II - Attack of the Clones ,6.6,5.46,,4.5,,,2002,5.52
82,Pirates of the Caribbean: At World's End ,7.1,6.64,,5.12,,,2007,6.286666666666666
83,Star Wars: Episode VI - Return of the Jedi ,8.3,8.02,,7.3,,,1983,7.873333333333334
84,Independence Day ,7.0,6.56,,5.1,,,1996,6.22
85,Pirates of the Caribbean: The Curse of the Black Pearl ,8.1,7.74,,6.52,,,2003,7.453333333333333
86,Skyfall ,7.8,7.66,,6.64,,,2012,7.366666666666667
87,The Hobbit: An Unexpected Journey ,7.8,6.82,,6.02,,,2012,6.88
88,Harry Potter and the Half-Blood Prince ,7.6,7.34,,5.76,,,2009,6.8999999999999995
89,The Twilight Saga: Eclipse ,5.0,5.28,,3.42,,,2010,4.566666666666666
90,The Twilight Saga: New Moon ,4.7,5.26,,3.18,,,2009,4.38
91,Harry Potter and the Deathly Hallows: Part 1 ,7.7,7.42,,6.06,,,2010,7.06
92,The Sixth Sense ,8.2,7.94,,6.86,,,1999,7.666666666666667
93,Up ,8.3,8.18,,7.44,,,2009,7.973333333333334
94,Star Wars: Episode V - The Empire Strikes Back ,8.7,8.78,,8.18,,,1980,8.553333333333333
95,Inception ,8.8,8.36,,7.18,,,2010,8.113333333333333
96,Harry Potter and the Order of the Phoenix ,7.5,7.34,,5.7,,,2007,6.846666666666667
97,The Twilight Saga: Breaking Dawn - Part 2 ,5.5,5.66,,3.54,,,2012,4.8999999999999995
98,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",6.9,6.88,,5.12,,,2005,6.3
99,Man of Steel ,7.1,5.94,,4.76,,,2013,5.933333333333334
100,"Monsters, Inc. ",8.1,8.14,,7.28,,,2001,7.84
101,Harry Potter and the Goblet of Fire ,7.7,7.62,,5.94,,,2005,7.086666666666667
102,Home Alone ,7.7,7.56,,6.3,,,1990,7.1866666666666665
103,The Hunger Games: Mockingjay - Part 2 ,6.5,6.44,,4.96,,,2015,5.966666666666668
104,The Matrix Reloaded ,7.2,6.62,,5.52,,,2003,6.446666666666666
105,The Twilight Saga: Breaking Dawn - Part 1 ,4.9,5.28,,3.14,,,2011,4.44
106,Meet the Fockers ,6.3,5.64,,4.52,,,2004,5.486666666666667
107,The Hangover ,7.7,7.04,,5.8,,,2009,6.846666666666667
108,Gravity ,7.7,6.96,,6.52,,,2013,7.06
109,The Grinch ,6.4,5.72,,4.96,,,2018,5.6933333333333325
110,Sing ,7.1,6.06,,4.68,,,2016,5.946666666666666
111,Monsters University ,7.2,6.66,,6.0,,,2013,6.62
112,Shrek ,7.9,8.08,,6.72,,,2001,7.566666666666667
113,Despicable Me 3 ,6.2,5.14,,4.52,,,2017,5.286666666666666
114,Harry Potter and the Chamber of Secrets ,7.4,7.24,,5.76,,,2002,6.8
115,The Amazing Spider-Man ,6.9,6.52,,5.06,,,2012,6.16
116,The Incredibles ,8.0,8.14,,7.24,,,2004,7.793333333333334
117,Jaws ,8.1,7.96,,7.38,,,1975,7.8133333333333335
118,How the Grinch Stole Christmas ,6.3,6.72,,4.38,,,2000,5.8
119,Captain America: The Winter Soldier ,7.8,7.52,,6.5,,,2014,7.273333333333333
120,The Hobbit: The Desolation of Smaug ,7.8,6.7,,5.66,,,2013,6.72
121,The Lego Movie ,7.7,7.52,,7.08,,,2014,7.433333333333334
122,Star Trek ,7.9,7.16,,6.32,,,2009,7.126666666666668
123,I Am Legend ,7.2,6.64,,5.3,,,2007,6.38
124,The Blind Side ,7.6,6.58,,4.9,,,2009,6.359999999999999
125,The Hobbit: The Battle of the Five Armies ,7.4,6.3,,5.0,,,2014,6.233333333333333
126,The Hangover Part II ,6.5,5.64,,4.6,,,2011,5.579999999999999
127,Despicable Me ,7.6,6.92,,5.92,,,2010,6.813333333333333
128,Batman ,7.5,7.18,,6.7,,,1989,7.126666666666666
129,Night at the Museum ,6.4,6.38,,4.68,,,2006,5.82
130,Men in Black ,7.3,7.2,,6.06,,,1997,6.853333333333333
131,Harry Potter and the Prisoner of Azkaban ,7.9,8.2,,6.7,,,2004,7.6000000000000005
132,Moana ,7.6,7.52,,6.38,,,2016,7.166666666666667
133,Indiana Jones and the Raiders of the Lost Ark ,8.4,8.32,,7.62,,,1981,8.113333333333333
134,Toy Story 2 ,7.9,7.86,,7.24,,,1999,7.666666666666667
135,Transformers: Age of Extinction ,5.6,4.08,,3.1,,,2014,4.26
136,Cars ,7.2,7.06,,5.48,,,2006,6.579999999999999
137,Ghostbusters ,7.8,7.58,,6.88,,,1984,7.419999999999999
138,Bruce Almighty ,6.8,6.28,,5.1,,,2003,6.06
139,Twister ,6.4,6.24,,4.72,,,1996,5.786666666666666
140,My Big Fat Greek Wedding ,6.6,6.74,,4.72,,,2002,6.0200000000000005
141,Maleficent ,6.9,6.4,,5.1,,,2014,6.133333333333333
142,Pirates of the Caribbean: On Stranger Tides ,6.6,5.54,,4.72,,,2011,5.62
143,Shrek Forever After ,6.3,5.72,,5.02,,,2010,5.68
144,Fast & Furious 6 ,7.0,6.18,,5.14,,,2013,6.1066666666666665
145,Brave ,7.1,6.66,,5.72,,,2012,6.493333333333333
146,Oz the Great and Powerful ,6.3,5.08,,4.86,,,2013,5.413333333333334
147,X-Men: The Last Stand ,6.6,5.18,,4.66,,,2006,5.4799999999999995
148,War of the Worlds ,6.5,6.42,,5.28,,,2005,6.066666666666667
149,Fantastic Beasts and Where to Find Them ,7.2,6.38,,5.5,,,2016,6.359999999999999
150,X-Men: Days of Future Past ,7.9,7.18,,6.58,,,2014,7.22
151,Cast Away ,7.8,7.6,,6.36,,,2000,7.253333333333333
152,The Exorcist ,8.1,7.98,,7.6,,,1973,7.8933333333333335
153,Doctor Strange ,7.5,7.02,,6.1,,,2016,6.873333333333332
154,The Lost World: Jurassic Park ,6.5,6.14,,5.18,,,1997,5.94
155,Justice League ,6.1,4.14,,3.74,,,2017,4.66
156,Star Trek Into Darkness ,7.7,6.52,,5.8,,,2013,6.673333333333333
157,The Martian ,8.0,7.46,,6.42,,,2015,7.293333333333333
158,Signs ,6.8,6.82,,5.42,,,2002,6.346666666666667
159,Hancock ,6.4,5.42,,4.52,,,2008,5.446666666666666
160,The Bourne Ultimatum ,8.0,7.26,,6.62,,,2007,7.293333333333334
161,Logan ,8.1,8.14,,7.24,,,2017,7.826666666666667
162,Rush Hour 2 ,6.6,6.46,,5.26,,,2001,6.1066666666666665
163,The Fate of the Furious ,6.6,5.62,,4.92,,,2017,5.713333333333334
164,Shang-Chi and the Legend of the Ten Rings ,7.4,7.24,,6.18,,,2021,6.94
165,WALL-E ,8.4,8.3,,7.8,,,2008,8.166666666666666
166,Big Hero 6 ,7.8,7.56,,6.3,,,2014,7.22
167,Mission: Impossible - Fallout ,7.7,7.74,,6.76,,,2018,7.400000000000001
168,National Treasure: Book of Secrets ,6.5,5.74,,4.52,,,2007,5.586666666666666
169,Alvin and the Chipmunks: The Squeakquel ,4.5,4.26,,2.46,,,2009,3.7399999999999998
170,Mrs. Doubtfire ,7.1,7.12,,5.38,,,1993,6.533333333333334
171,Beauty and the Beast ,8.0,7.76,,6.82,,,1991,7.526666666666666
172,Ted ,6.9,5.86,,5.14,,,2012,5.966666666666666
173,King Kong ,7.2,6.66,,5.5,,,2005,6.453333333333333
174,Ghost ,7.1,6.86,,5.3,,,1990,6.419999999999999
175,How to Train Your Dragon ,8.1,7.9,,6.86,,,2010,7.62
176,The Da Vinci Code ,6.6,6.08,,4.36,,,2006,5.68
177,Aladdin ,8.0,7.74,,6.94,,,1992,7.56
178,Alvin and the Chipmunks ,5.2,4.9,,2.86,,,2007,4.32
179,Saving Private Ryan ,8.6,8.34,,7.12,,,1998,8.02
180,Bohemian Rhapsody ,7.9,6.92,,5.44,,,2018,6.753333333333333
181,Ant-Man and the Wasp ,7.0,6.14,,5.56,,,2018,6.233333333333333
182,Madagascar 3: Europe's Most Wanted ,6.8,5.78,,4.96,,,2012,5.846666666666667
183,Kung Fu Panda ,7.6,7.44,,6.24,,,2008,7.093333333333334
184,Mission: Impossible II ,6.1,5.3,,4.4,,,2000,5.266666666666667
185,A Star Is Born ,7.6,7.28,,6.0,,,2018,6.96
186,X2: X-Men United ,7.4,6.82,,6.18,,,2003,6.8
187,The Lorax ,6.4,6.0,,4.16,,,2012,5.5200000000000005
188,Solo: A Star Wars Story ,6.9,5.94,,5.6,,,2018,6.146666666666667
189,Venom ,6.6,5.8,,4.9,,,2018,5.766666666666667
190,Austin Powers in Goldmember ,6.2,5.88,,4.94,,,2002,5.673333333333333
191,Venom: Let There Be Carnage ,5.9,5.36,,4.74,,,2021,5.333333333333333
192,It Chapter Two ,6.5,5.96,,4.9,,,2019,5.786666666666666
193,Back to the Future ,8.5,8.38,,7.72,,,1985,8.200000000000001
194,300 ,7.6,6.58,,5.24,,,2006,6.473333333333334
195,Coco ,8.4,8.34,,7.42,,,2017,8.053333333333333
196,Fast Five ,7.3,6.82,,5.6,,,2011,6.573333333333333
197,Mission: Impossible - Ghost Protocol ,7.4,7.3,,6.28,,,2011,6.993333333333333
198,Wedding Crashers ,7.0,6.26,,5.28,,,2005,6.18
199,Sherlock Holmes ,7.6,6.78,,5.92,,,2009,6.766666666666667
200,Dawn of the Planet of the Apes ,7.6,7.34,,6.38,,,2014,7.1066666666666665
201,Batman Begins ,8.2,7.56,,6.72,,,2005,7.493333333333332
202,Charlie and the Chocolate Factory ,6.7,6.4,,5.06,,,2005,6.053333333333334
203,Ratatouille ,8.1,8.36,,7.4,,,2007,7.953333333333333
204,Thor: The Dark World ,6.8,4.8,,4.62,,,2013,5.406666666666666
205,Bad Boys for Life ,6.5,6.0,,5.1,,,2020,5.866666666666667
206,Austin Powers: The Spy Who Shagged Me ,6.6,6.44,,5.64,,,1999,6.226666666666667
